piano|pl,10
piano|intro,10
piano|back,10
orchestra|of,10
music|outer,10
music|hour,10
music|bad,10
guitar|sign,10
guitar|clarin,10
guitar|best,10
violin|come,10
song|worst,10
song|wassup,10
song|togeth,10
song|take,10
song|li,10
song|choic,10
song|bring,10
sing|word,10
sing|thank,10
sing|next,10
sing|much,10
play|theme,10
play|need,10
play|last,10
play|in,10
piano|well,10
piano|tuner,10
piano|start,10
orchestra|you,10
orchestra|tonight,10
orchestra|realli,10
orchestra|man,10
orchestra|le,10
orchestra|class,10
orchestra|celebr,10
music|want,10
music|spotifi,10
music|htt,10
music|cover,10
guitar|tune,10
guitar|practic,10
guitar|great,10
violin|world,10
violin|exa,10
violin|etud,10
violin|big,10
song|to,10
song|suck,10
song|put,10
song|lol,10
song|cool,10
